passed,Molecular mass,LogP,H-Donors,H-Acceptors,molecule_name,canonical_smiles,pIC50
True,309.3690000000001,3.5675200000000027,1,5,CHEMBL93173,COc1cc2ncnc(NCc3cccc(C)c3)c2cc1OC,6.769551078621726
True,360.2110000000001,4.153100000000003,1,5,CHEMBL328106,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,9.017728766960431
True,385.90300000000025,3.9250000000000007,3,7,CHEMBL367625,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21,5.292429823902063
True,341.172,3.4072000000000005,2,5,CHEMBL172652,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.387216143280265
True,337.8100000000001,4.599400000000003,2,3,CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,5.136677139879544
True,130.15,1.6297999999999997,0,2,CHEMBL301359,c1ccc2ncncc2c1,7.568636235841013
True,344.216,3.596900000000001,1,5,CHEMBL53796,CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.494850021680094
True,360.2110000000001,4.153100000000003,1,5,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.537602002101044
True,304.345,4.512800000000004,1,3,CHEMBL358092,COC(=O)c1ccc(-c2ccc(-c3ccccc3)cc2O)cc1,4.853871964321762
True,321.1670000000001,2.8845,1,5,CHEMBL49596,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,5.251811972993799
True,371.3620000000001,4.964800000000003,2,3,CHEMBL153843,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,4.982966660701219
True,475.3620000000003,4.426100000000003,1,5,CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,6.301029995663981
True,472.6330000000001,6.993500000000007,1,5,CHEMBL2111784,C[C@H](Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,5.958607314841775
True,373.24300000000005,5.483940000000003,3,4,CHEMBL27085,Cc1nc(O)c2c(ccc3[nH]c(Nc4c(Cl)cccc4Cl)nc32)c1C,4.0
True,303.362,2.3624,2,6,CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,5.431798275933005
True,263.30400000000003,3.1900200000000014,2,4,CHEMBL75208,Cc1[nH]c2ncnc(Nc3cccc(C#N)c3)c2c1C,6.698970004336019
True,313.72300000000007,3.813600000000002,1,5,CHEMBL181275,Fc1ccc(Nc2ncnc3nn4ccccc4c23)cc1Cl,6.698970004336019
True,400.43800000000016,4.642900000000004,2,6,CHEMBL186802,COc1cc2ncnc(Nc3cccc(NC(=O)c4ccccc4)c3)c2cc1OC,5.251811972993799
True,262.675,3.2654000000000014,1,4,CHEMBL185637,Fc1ccc(Nc2ncnn3cccc23)cc1Cl,6.958607314841775
True,378.43900000000014,1.3097199999999998,3,9,CHEMBL363130,Cc1ccsc1C(=O)n1nc(Nc2ccc(S(N)(=O)=O)cc2)nc1N,5.075720713938118
True,362.7920000000002,4.004500000000003,1,6,CHEMBL196018,CCOC(=O)c1cn2ncnc(Nc3ccc(F)c(Cl)c3)c2c1CC,7.045757490560675
True,402.4540000000002,4.673020000000003,1,7,CHEMBL371888,COc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(C)c3)c2cc1OC,7.229147988357856
True,479.9680000000001,3.8621200000000018,4,6,CHEMBL401930,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,5.795880017344075
True,369.222,4.700500000000003,2,5,CHEMBL382862,Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.0
True,416.88400000000007,4.647500000000004,1,6,CHEMBL203295,COc1cc(OC2CCN(C)CC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,7.67778070526608
True,383.249,4.569000000000003,2,5,CHEMBL381306,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.522878745280337
True,449.4860000000003,4.227900000000003,2,6,CHEMBL606964,COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1,6.263603497723357
True,359.3890000000001,3.4647200000000016,1,7,CHEMBL206483,Cc1cccc(-n2ncc3c(NCc4ccc5c(c4)OCO5)ncnc32)c1,4.823908740944319
True,373.8690000000001,4.507660000000002,2,6,CHEMBL364623,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,5.2839966563652006
True,413.4030000000001,5.331100000000003,3,5,CHEMBL387187,O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1,7.67778070526608
True,453.5900000000004,5.835260000000005,1,6,CHEMBL436137,Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2c1,6.015472686656207
True,506.0320000000004,2.4888400000000006,3,9,CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,6.7447274948966935
True,363.8200000000001,4.731700000000004,1,5,CHEMBL1204261,CCOc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCC.Cl,8.087777943467584
True,478.04000000000025,5.899140000000005,1,6,CHEMBL534948,Cc1cccc(C)c1Nc1ncc(-c2ccc(OCC3CCCN(C)C3)cc2)n2cncc12.Cl,5.563837352959244
